uid,family,mode,freq,sym,n,rho_target,rho,level,conn_frac,k11,k22,k33,C11,C22,C33,C12,C13,C23,C44,C55,C66,E11,E22,E33,G23,G13,G12,nu12,nu13,nu23,Kbulk,porosity,spec_surf,K_perm,k_off_rel,C_coupling_rel,feasible,t_total,B11,B22,B33,D11,D22,D33,tie,builder
0,gyroid,network,111,cubic,32,0.13109,0.131317138671875,-1.109254728812346,1.0,0.058802800070825056,0.058810115293464554,0.058802792230841706,0.0269356197049282,0.02693337403638922,0.026933935774631195,0.018827231700043315,0.018826555248403362,0.018826186028085577,0.009297547826618497,0.009296948538708001,0.009296874310979005,0.011443786108693677,0.01144234929401908,0.011443601545918078,0.009297547797967414,0.009296948396011957,0.009296874192543447,0.4114842721463894,0.41137232955502623,0.4113890875250839,0.021529208385445905,0.868683,2.17877,0.02761802806368607,0.00014990336529051317,5.318168343433576e-05,1,17.4,1.109245,1.109229,1.109254,0.782642,0.782650,0.782642,legacy,cpu
1,gyroid,network,111,cubic,32,0.15123,0.151092529296875,-1.0557363214301243,1.0,0.07014737084543259,0.070097625905079,0.07009829400953449,0.0338947661317944,0.03383251852273738,0.03383065703122222,0.022482427912347377,0.022481882907242956,0.022475480811916207,0.011314522225848198,0.011312210788861653,0.011312215062786811,0.0159414986739285,0.015896292125034676,0.015895350266882602,0.011314507622498323,0.01131219834306637,0.011312195334815447,0.39926944228787214,0.39928621051620367,0.3997738117850502,0.026270836105418565,0.848907,2.29331,0.023264019203386485,0.00037284159834412794,0.0004085120105243168,1,18.14,1.110059,1.110227,1.110221,0.753160,0.753147,0.753148,legacy,cpu
2,gyroid,network,111,cubic,32,0.18199,0.18194580078125,-0.9664303443980545,1.0,0.0870348337104083,0.08697521550259972,0.0870467686520488,0.04398158363430245,0.04398874580832587,0.04399492013895117,0.027658147806495687,0.027663947162311298,0.027660748817732006,0.01666211919869997,0.016666581085365385,0.016663686737969082,0.022624807509196522,0.022634330198237504,0.022633372723434114,0.016662114244343742,0.016666571715753854,0.016663677344855445,0.3859394388146328,0.3861486514680928,0.38594571244466597,0.03310343746162861,0.818054,2.45692,0.018138268779237406,3.535656459799022e-05,0.0002476449204888475,1,19.43,1.125580,1.125807,1.125589,0.708490,0.708383,0.708493,legacy,cpu
3,gyroid,network,111,cubic,32,0.22918,0.229339599609375,-0.8264288291192032,1.0,0.11727895462519486,0.11727806036399169,0.11727808762218901,0.0654672610124001,0.06546778813500986,0.0654670398498025,0.03653842070956048,0.036538149458628086,0.036538239866898664,0.02652006048644595,0.026520132046914714,0.02652005407394662,0.039291333428567936,0.039291704688168505,0.03929131695959726,0.026520060012615358,0.026520131859904497,0.026520053914659537,0.3581986934172581,0.3581985628235246,0.3581985534344914,0.046181301007487435,0.77066,2.65684,0.012968454380107188,0.00010707835198024724,4.4688420797063335e-05,1,22.29,1.128477,1.128478,1.128479,0.639896,0.639894,0.639894,legacy,cpu
4,gyroid,network,111,cubic,32,0.26737,0.267547607421875,-0.7030001638934296,1.0,0.1412608716980221,0.1412662164668707,0.1412895668458144,0.08265739406801322,0.08266074050538662,0.08268700622390547,0.0437002676792951,0.04369761882624026,0.043709267171994984,0.033930993848177514,0.033931755507918826,0.033931486042637696,0.052438172875339376,0.05243027681340089,0.052455865197944984,0.03393095154294976,0.03393171885630981,0.03393144366862694,0.34591627095562083,0.34561514789603975,0.3458322017092614,0.05669104979470733,0.732452,2.79168,0.01008413052956621,0.0005932614167342283,0.0004575936102764019,1,24.3,1.142756,1.142682,1.142661,0.590710,0.590645,0.590699,legacy,cpu
5,gyroid,network,111,cubic,32,0.28134,0.28125,-0.6636904725897819,1.0,0.15214893321227613,0.15214893321227563,0.15214893321227546,0.09195106324004212,0.09195106324004301,0.09195106324004272,0.04703646376383076,0.047036463763829854,0.04703646376383057,0.03850808587383053,0.03850808587382967,0.038508085873830276,0.06011469675307723,0.060114696753077373,0.060114696753077936,0.03850808587383053,0.03850808587382967,0.038508085873830276,0.3384221935434588,0.33842219354344083,0.3384221935434507,0.0620079969225678,0.71875,2.82811,0.00928475384526724,2.9002522389423996e-15,1.0359125401455026e-14,1,24.51,1.133752,1.133752,1.133752,0.569923,0.569923,0.569923,legacy,cpu
8,gyroid,network,111,cubic,32,0.39693,0.39697265625,-0.3114687744171345,1.0,0.23938174963695746,0.23938174963695724,0.23938174963695716,0.16954876583885875,0.1695487658388605,0.1695487658388593,0.0724749304799587,0.07247493047995793,0.07247493047995834,0.06882353784366639,0.06882353784366561,0.06882353784366606,0.12614297022489943,0.12614297022490067,0.12614297022490023,0.06882353784366639,0.06882353784366561,0.06882353784366606,0.29945386167678184,0.29945386167677746,0.29945386167677923,0.10483287559959205,0.603027,3.04253,0.004737740354832273,3.1821993428638136e-15,9.265583754488048e-15,1,29.64,1.115944,1.115944,1.115944,0.434288,0.434288,0.434288,legacy,cpu
9,gyroid,network,111,cubic,32,0.41937,0.41943359375,-0.26198308128544023,1.0,0.25732949311212555,0.25732949311212533,0.2573294931121253,0.18623914996149055,0.1862391499614925,0.18623914996149057,0.0779584721241548,0.07795847212415472,0.0779584721241541,0.07498567923314875,0.07498567923314829,0.07498567923314839,0.14023174589816062,0.14023174589816292,0.1402317458981612,0.07498567923314875,0.07498567923314829,0.07498567923314839,0.29507635802597093,0.2950763580259755,0.29507635802596927,0.11405203140326675,0.580566,3.05895,0.004182558694091746,4.3565354005556346e-15,1.09483146594391e-14,1,25.43,1.108654,1.108654,1.108654,0.411981,0.411981,0.411981,legacy,cpu
6,gyroid,network,111,cubic,32,0.32831,0.328399658203125,-0.5088541934999096,1.0,0.18493090293076236,0.1850540510230654,0.1849923898520931,0.11886667837299919,0.11898804824229164,0.11892717506917673,0.05653640437496197,0.056523474738085625,0.056548945850779984,0.04933506926613089,0.04932181038357915,0.04932840759423126,0.08245054972906915,0.08253760392327397,0.08249406874186645,0.04933505420131091,0.04932180357460321,0.049328392548676964,0.32204236548174897,0.3221493694493372,0.3222709025212823,0.07733328351245808,0.6716,2.94517,0.006984622217592985,0.0006353912022577711,0.0003549743335384431,1,26.29,1.137248,1.136696,1.136971,0.513950,0.513945,0.513947,legacy,cpu
7,gyroid,network,111,cubic,32,0.3663,0.3662109375,-0.41626200693131055,1.0,0.21379675916858226,0.213796759168582,0.21379675916858204,0.14402713793811378,0.14402713793811536,0.1440271379381144,0.06527615017854714,0.06527615017854635,0.0652761501785468,0.06009391437917581,0.06009391437917509,0.06009391437917552,0.10331133437407994,0.10331133437408098,0.10331133437408077,0.06009391437917581,0.06009391437917509,0.06009391437917553,0.31187350550443205,0.3118735055044258,0.3118735055044283,0.09152647943173602,0.633789,2.9969,0.005669160096772329,3.3753784145873014e-15,1.0753833006341204e-14,1,29.02,1.128741,1.128741,1.128741,0.470005,0.470005,0.470005,legacy,cpu
